Ellecleme,Ihracat,Ithalat,Kabotaj,Transit,Yil,Ay,Gun,ds
203254,4620,6330,5018,14401,2004,Ocak,15,2004-Ocak-15
211111,3665,6139,4964,16077,2004,Şubat,15,2004-Şubat-15
264365,5218,8452,4385,15041,2004,Mart,15,2004-Mart-15
255763,5072,7932,4838,13895,2004,Nisan,15,2004-Nisan-15
286562,5170,7991,4207,17151,2004,Mayıs,15,2004-Mayıs-15
268840,5284,8468,2683,17594,2004,Haziran,15,2004-Haziran-15
277807,5632,8728,1309,16307,2004,Temmuz,15,2004-Temmuz-15
285323,4707,7883,1901,14855,2004,Ağustos,15,2004-Ağustos-15
271814,5656,8487,1470,14488,2004,Eylül,15,2004-Eylül-15
272738,5867,8088,4692,14074,2004,Ekim,15,2004-Ekim-15
247399,5734,8568,631,10865,2004,Kasım,15,2004-Kasım-15
268880,6541,10474,1613,11543,2004,Aralık,15,2004-Aralık-15
257067,4997,7220,1121,11950,2005,Ocak,15,2005-Ocak-15
225391,5652,8324,1406,10673,2005,Şubat,15,2005-Şubat-15
279839,6592,10196,901,12449,2005,Mart,15,2005-Mart-15
277823,6128,9596,598,11636,2005,Nisan,15,2005-Nisan-15
279764,5977,9812,1259,17919,2005,Mayıs,15,2005-Mayıs-15
281125,6039,9947,2598,17997,2005,Haziran,15,2005-Haziran-15
287452,5763,9596,1900,15862,2005,Temmuz,15,2005-Temmuz-15
292152,5553,10272,1832,16361,2005,Ağustos,15,2005-Ağustos-15
284863,6814,10366,1064,12027,2005,Eylül,15,2005-Eylül-15
287437,6772,10090,2877,16013,2005,Ekim,15,2005-Ekim-15
269036,5943,9673,1611,14766,2005,Kasım,15,2005-Kasım-15
290261,7246,11683,1159,16770,2005,Aralık,15,2005-Aralık-15
257321,5133,8146,160,12849,2006,Ocak,15,2006-Ocak-15
259577,6058,9796,643,12202,2006,Şubat,15,2006-Şubat-15
306801,7411,11605,676,14686,2006,Mart,15,2006-Mart-15
315862,6456,11587,1145,22592,2006,Nisan,15,2006-Nisan-15
329560,7042,12694,2421,13582,2006,Mayıs,15,2006-Mayıs-15
331024,7815,12466,558,11473,2006,Haziran,15,2006-Haziran-15
335446,7067,11709,2281,16253,2006,Temmuz,15,2006-Temmuz-15
342392,6811,12276,899,16950,2006,Ağustos,15,2006-Ağustos-15
351227,7607,12153,3592,15286,2006,Eylül,15,2006-Eylül-15
339161,6889,11200,4415,15588,2006,Ekim,15,2006-Ekim-15
343865,8641,12897,3757,17533,2006,Kasım,15,2006-Kasım-15
345818,8604,13048,2503,15927,2006,Aralık,15,2006-Aralık-15
343673,6565,10592,4306,15559,2007,Ocak,15,2007-Ocak-15
326901,7657,11383,4394,11272,2007,Şubat,15,2007-Şubat-15
353914,8958,13234,3924,15437,2007,Mart,15,2007-Mart-15
388906,8313,12919,4887,13179,2007,Nisan,15,2007-Nisan-15
387758,9148,14935,3207,14375,2007,Mayıs,15,2007-Mayıs-15
394096,8980,14266,4383,13203,2007,Haziran,15,2007-Haziran-15
397932,8938,15214,4739,9066,2007,Temmuz,15,2007-Temmuz-15
407262,8737,14682,5048,7256,2007,Ağustos,15,2007-Ağustos-15
392272,9039,14459,6601,4378,2007,Eylül,15,2007-Eylül-15
391163,9895,15627,6462,7159,2007,Ekim,15,2007-Ekim-15
384885,11319,16632,6498,14548,2007,Kasım,15,2007-Kasım-15
413506,9724,16120,6968,20307,2007,Aralık,15,2007-Aralık-15
373808,10632,16339,8337,15719,2008,Ocak,15,2008-Ocak-15
383840,11078,16027,14222,7269,2008,Şubat,15,2008-Şubat-15
435486,11429,16812,17752,14390,2008,Mart,15,2008-Mart-15
422257,11364,17889,13929,5338,2008,Nisan,15,2008-Nisan-15
470635,12478,19306,14948,7010,2008,Mayıs,15,2008-Mayıs-15
443389,11771,19477,12243,7697,2008,Haziran,15,2008-Haziran-15
449892,12595,20557,14129,17797,2008,Temmuz,15,2008-Temmuz-15
468123,11047,19251,14345,11326,2008,Ağustos,15,2008-Ağustos-15
420234,12793,17885,15688,9178,2008,Eylül,15,2008-Eylül-15
464355,9723,14942,14925,7468,2008,Ekim,15,2008-Ekim-15
415605,9396,12074,14930,9112,2008,Kasım,15,2008-Kasım-15
343998,7722,11405,7460,3302,2008,Aralık,15,2008-Aralık-15
300427,7884,9281,7319,1390,2009,Ocak,15,2009-Ocak-15
281062,8435,9075,6238,614,2009,Şubat,15,2009-Şubat-15
315889,8155,10522,9255,1225,2009,Mart,15,2009-Mart-15
306763,7562,10120,10909,478,2009,Nisan,15,2009-Nisan-15
340868,7346,10868,10820,810,2009,Mayıs,15,2009-Mayıs-15
364445,8330,12501,14301,618,2009,Haziran,15,2009-Haziran-15
409785,9056,12856,13321,1296,2009,Temmuz,15,2009-Temmuz-15
437465,7840,12811,19422,1474,2009,Ağustos,15,2009-Ağustos-15
402683,8481,12485,13675,232,2009,Eylül,15,2009-Eylül-15
425481,10096,12773,11267,1060,2009,Ekim,15,2009-Ekim-15
394035,8903,12618,14711,1758,2009,Kasım,15,2009-Kasım-15
425539,10055,15019,10787,1587,2009,Aralık,15,2009-Aralık-15
387918,7829,11691,12376,41810,2010,Ocak,15,2010-Ocak-15
402019,8263,11782,14091,63930,2010,Şubat,15,2010-Şubat-15
455854,9886,15022,15637,76413,2010,Mart,15,2010-Mart-15
480284,9396,14943,14908,74338,2010,Nisan,15,2010-Nisan-15
514046,9800,14726,14012,72028,2010,Mayıs,15,2010-Mayıs-15
511847,9543,15233,17999,74679,2010,Haziran,15,2010-Haziran-15
529081,9565,16078,22512,82232,2010,Temmuz,15,2010-Temmuz-15
512466,8523,15434,21767,78159,2010,Ağustos,15,2010-Ağustos-15
