Tarih;Ellecleme;Ihracat;Ithalat;Kabotaj;Transit
2004-01;203254;4619,66084;6329,956967;5018;14400,5
2004-02;211111,25;3664,503043;6139,44184;4963,5;16077
2004-03;264364,9855;5218,042177;8451,887708;4385;15040,8895
2004-04;255762,5;5072,462994;7932,034288;4837,5;13895
2004-05;286561,75;5170,061605;7990,553353;4207;17150,5
2004-06;268840,25;5284,383286;8467,764892;2682,5;17593,75
2004-07;277806,75;5632,138798;8728,466074;1308,5;16306,75
2004-08;285322,5;4707,491284;7883,361768;1900,5;14854,5
2004-09;271814,25;5656,283521;8486,551697;1469,5;14488,25
2004-10;272738,25;5867,342121;8087,591965;4691,5;14073,5
2004-11;247398,5;5733,908976;8568,139755;631;10864,5
2004-12;268880;6540,874175;10474,01566;1613;11542,5
2005-01;257067;4997,279724;7219,679862;1121;11950
2005-02;225390,5;5651,741252;8323,736797;1406;10673
2005-03;279839;6591,859218;10196,35293;900,5;12449
2005-04;277822,5;6128,131878;9595,500303;597,5;11636
2005-05;279763,5;5977,226217;9811,620456;1258,5;17919
2005-06;281125;6038,534367;9947,498949;2597,5;17997
2005-07;287452;5763,466353;9596,123042;1899,5;15861,5
2005-08;292152;5552,867212;10272,18139;1831,5;16360,5
2005-09;284862,5;6814,268941;10365,93899;1063,5;12026,5
2005-10;287436,75;6772,178569;10089,81165;2876,5;16012,5
2005-11;269036,5;5942,575782;9673,128931;1611;14766
2005-12;290260,75;7246,27863;11682,57759;1158,5;16770
2006-01;257320,75;5133,048881;8145,534848;160;12848,5
2006-02;259576,5;6058,251279;9796,220249;643;12202
2006-03;306800,5;7411,101659;11605,0261;676;14686
2006-04;315862;6456,090261;11587,10199;1145;22592
2006-05;329559,75;7041,543247;12694,20157;2421;13582
2006-06;331023,5;7815,434622;12465,72488;558;11473
2006-07;335446,25;7067,411479;11709,38429;2281;16253
2006-08;342392,25;6811,20241;12276,08758;899;16950
2006-09;351226,5;7606,551095;12152,97865;3592;15286
2006-10;339161;6888,812549;11199,55678;4415;15588
2006-11;343865,25;8641,474556;12896,57454;3757;17533,25
2006-12;345818;8603,75348;13047,78267;2503;15927
2007-01;343673;6564,559793;10591,8858;4306;15559
2007-02;326901;7656,951608;11383,17791;4394;11272
2007-03;353914;8957,851621;13234,19245;3924;15437
2007-04;388906;8313,312005;12919,28135;4887;13179
2007-05;387758;9147,620042;14935,15504;3207;14375
2007-06;394096;8980,247437;14265,94685;4383;13203
2007-07;397932;8937,741591;15214,03352;4739;9066
2007-08;407262;8736,689092;14681,66796;5048;7256
2007-09;392271,5;9038,743896;14459,08406;6601;4378
2007-10;391163;9895,216622;15626,53249;6462;7159
2007-11;384885;11318,79822;16631,88281;6498;14548
2007-12;413506;9724,017977;16119,87425;6968;20307
2008-01;373808;10632,20704;16338,58895;8337;15719
2008-02;383840;11077,89912;16026,52065;14222;7269
2008-03;435486;11428,58723;16812,08834;17752;14390
2008-04;422257;11363,9635;17889,46962;13929;5338
2008-05;470635;12477,9687;19306,133;14948;7010
2008-06;443389;11770,63438;19476,56808;12243;7697
2008-07;449891,5;12595,42686;20557,4281;14129;17797
2008-08;468123;11046,83009;19251,33534;14345;11326
2008-09;420234;12793,14803;17884,56179;15688;9178
2008-10;464355;9722,70879;14942,45449;14925;7468
2008-11;415605;9395,872897;12073,50466;14930;9112
2008-12;343997,5;7721,948974;11404,92109;7460;3302
2009-01;300427;7884,493524;9281,137649;7319;1390
2009-02;281061,5;8435,115834;9074,663754;6238;614
2009-03;315889;8155,485081;10522,03824;9255;1225
2009-04;306763;7561,696283;10120,3194;10909;478
2009-05;340868,5;7346,407528;10867,6982;10820;810
2009-06;364445,25;8329,692783;12500,59085;14301;618
2009-07;409785;9055,733671;12856,28586;13321;1296
2009-08;437465;7839,908842;12811,16596;19422;1474
2009-09;402683;8480,708387;12485,00429;13675;232
2009-10;425481;10095,76803;12772,50612;11267;1060
2009-11;394034,5;8903,010773;12617,53543;14711;1758
2009-12;425539;10054,59187;15019,47547;10787;1587
2010-01;387917,75;7828,748058;11691,24839;12376;41810
2010-02;402018,5;8263,237814;11781,61118;14091;63930
2010-03;455854;9886,488171;15022,22372;15637;76413
2010-04;480284;9396,006654;14943,41566;14908;74338
2010-05;514045,5;9799,958117;14726,0921;14012;72028
2010-06;511846,5;9542,907644;15233,11406;17999;74679
2010-07;529081,25;9564,682545;16078,47842;22512;82232
2010-08;512466,25;8523,451973;15434,03708;21767;78159
2010-09;474174,75;8909,230521;15643,75788;21147;78237
2010-10;515553,25;10963,58627;17296,67973;20533;84645,25
2010-11;442031,75;9382,369718;17134,76831;14197;72601
2010-12;518181,5;11822,5517;20558,90533;19146;75167
2011-01;496317,5;9551,084639;16905,38474;19248;61774,25
2011-02;459396,5;10059,12631;17520,18631;21884;53608
2011-03;531757,75;11811,08516;21643,47994;23681;62706
2011-04;573517,25;11873,26945;20953,45835;28289;75921,5
2011-05;586300,75;10943,36437;21107,02565;23370;74298
2011-06;538919,5;11349,95356;21605,30526;25311;59564,25
2011-07;592087,75;11860,00427;21061,30817;24751;64795,25
2011-08;579712,75;11245,12466;19679,42126;29224;61675,5
2011-09;519578,75;10750,6261;21203,68787;26516;61117
2011-10;574345,25;11907,2193;19919,20913;34942;60516
2011-11;531331,75;11078,52474;18649,3098;21521;69734,25
2011-12;540240;12477,48628;20593,8998;26519;51461,25
2012-01;557472,5;10348,18717;17468,97595;35790;57696
2012-02;557180,5;11748,00012;17787,29275;37666,25;69091
2012-03;601711,5;13208,57298;20677,49577;32639,75;62201,5
2012-04;593407,75;12630,22672;19272,81395;38799,5;76254,75
2012-05;647443,75;13131,53096;21750,44859;38790;74863
2012-06;640397,5;13231,19869;20437,93845;44749,5;83210,75
2012-07;599733;12830,67531;20835,20291;34823;85646
2012-08;606656,5;12831,39457;18828,47777;46238;85543,25
2012-09;594828,75;12952,65172;19924,30545;39922;77160,25
2012-10;590124,75;13190,76966;18786,69681;37930;73239,75
2012-11;583475;13753,05249;20947,98327;41966;72900,75
2012-12;619964,75;12605,47617;19827,50925;43031;80561
2013-01;604106,75;11481,52108;18802,56791;41262;80392,25
2013-02;574888,75;12385,69091;19395,11368;42832;72975
2013-03;651197,25;13122,05814;20559,35457;43289;88735,5
2013-04;645661;12468,2029;22825,1417;45345,5;86064,75
2013-05;697371,25;13277,20902;23245,30068;48753;92116,25
2013-06;700193,75;12399,97396;21012,83498;43741;83155,5
2013-07;715010,25;13059,51969;22965,86423;53005;88062,75
2013-08;650307,25;11118,3009;18198,36624;48234;88340,75
2013-09;683213,25;13060,37104;20620,81947;48393;79856,5
2013-10;623061,25;12053,70464;19482,63668;36274;77382
2013-11;670458;14201,22735;21414,21937;47670,75;79307
2013-12;684464,75;13174,85746;23139,03062;45696,5;73427,25
2014-01;685156,75;12399,76195;19286,49123;49699,75;53273,25
2014-02;634198,5;13053,29249;18239,68751;38797;59658
2014-03;712217,25;14680,11078;19931,70914;45505,5;61530
2014-04;716680,25;13371,18566;20658,67317;44065,5;68086
2014-05;748156,5;13681,90616;20875,12062;40540;70939
2014-06;738107,25;12880,92425;20792,87226;52999,75;65242
2014-07;716583,5;13344,77696;19941,06407;46846,5;69201,25
2014-08;680243;11386,82893;19498,06515;42601,5;63803
2014-09;686096,25;13583,12091;20595,98122;45281,5;63700
2014-10;650443,5;12891,6301;19184,61042;37771,5;61166
2014-11;682808;13067,34811;21384,56478;38601;59604,25
2014-12;700430,75;13269,2714;21788,27751;44355,25;58035,5
2015-01;618926,5;12301,76675;16645,65705;35791,5;51163
2015-02;596597,5;12231,86014;16940,9294;37983,25;57800,25
2015-03;730719,25;12519,91044;18726,10725;43126,25;60601
2015-04;664487;13349,34687;18373,48265;49611,5;47133
2015-05;690320,25;11080,38513;17868,77719;49418;55025,5
2015-06;713812,75;11949,64709;18199,14538;47239,25;56377,25
2015-07;650802,25;11129,35897;18225,34423;46900,5;58798,75
2015-08;694121;11022,04534;15969,29303;59331;66688,5
2015-09;662828,5;11581,70384;15402,91598;55629;65093
2015-10;698541,5;13240,03909;16917,70062;58832;61318,25
2015-11;677255,75;11681,98901;15972,82238;54556;48867
2015-12;747985,75;11750,81876;17992,18345;67645,25;62615,5
2016-01;675210,25;9546,1154;13452,70462;60575,5;67406,75
2016-02;694528,75;12366,38806;15578,25508;54484,5;74787,25
2016-03;743773;12757,67209;17766,23936;61899,25;87554,25
2016-04;740491,5;11950,49769;16187,63538;59376,75;87610,75
2016-05;769310,25;12098,61107;17196,65704;59485,5;92129,5
2016-06;749802,5;12864,15406;19476,2817;61332,5;70608,5
2016-07;704486,5;9850,124872;14694,99642;54643;67945,75
2016-08;760856,75;11830,76282;16614,1812;66618,5;68345,25
2016-09;680954,25;10901,63845;15297,88116;61213,25;66421,75
2016-10;777767,5;12796,15991;17008,61493;77299;67531,75
2016-11;734729,25;12786,93625;16934,53245;60362;62162
2016-12;730063,5;12780,52315;18410,25571;61022;60268,75
2017-01;765981;11247,58568;15591,50888;69250,25;71795,25
2017-02;699813,5;12089,90893;15825,99829;64112,5;70575
2017-03;762675,25;14470,81406;19017,53946;69807,75;76790,5
2017-04;818621,5;12859,93879;17787,68272;78061;91863,5
2017-05;854808;13582,07973;20923,44623;84672,5;103885,25
2017-06;845063,5;13125,30694;19173,75627;87025;121617,75
2017-07;851978,25;12612,07406;21490,79101;80111,5;120255
2017-08;869124,25;13248,46299;19161,7146;84135;107707,5
2017-09;836631,75;11810,08081;19978,41342;80452,75;113857
2017-10;919523,5;13912,69949;21217,24098;81271;121658
2017-11;879083,5;14188,32312;20546,98341;77261;112429,25
2017-12;907232;13845,66582;23084,57597;79360,5;120502,5
